symbol	address	ref_from	ref_type	function	function_entry
PTR_xiSetParamInt_1400437a8	1400437a8	1400100fb	READ	FUN_14000fb40	14000fb40
PTR_xiSetParamInt_1400437a8	1400437a8	14001013d	READ	FUN_14000fb40	14000fb40
PTR_xiSetParamInt_1400437a8	1400437a8	1400101da	READ	FUN_14000fb40	14000fb40
PTR_xiSetParamInt_1400437a8	1400437a8	140010218	READ	FUN_14000fb40	14000fb40
PTR_xiSetParamInt_1400437a8	1400437a8	140021cdd	READ	FUN_140021cc0	140021cc0
PTR_xiSetParamInt_1400437a8	1400437a8	1400228f7	READ	FUN_1400227d0	1400227d0
PTR_xiSetParamInt_1400437a8	1400437a8	140021e0d	INDIRECTION	FUN_140021dd0	140021dd0
PTR_xiGetParamFloat_1400437b0	1400437b0	140021d19	READ	FUN_140021cc0	140021cc0
PTR_xiGetParamFloat_1400437b0	1400437b0	140021d32	READ	FUN_140021cc0	140021cc0
PTR_xiGetParamFloat_1400437b0	1400437b0	140021d4b	READ	FUN_140021cc0	140021cc0
s_SendARP_Failed._No_default_gatew_140047920	140047920	140020744	DATA	FUN_140020660	140020660
s_socketport_14004be30	14004be30	14003244d	DATA	FUN_140031d70	140031d70
s_socketport_14004be30	14004be30	14002ae28	DATA	FUN_14002a6e0	14002a6e0
